http://meliweb.net/creatures/2formulae.htm
Generation 1 Reaction Formulae
Gene Number 	Description 	Formula
01 02 01 	drive raiser - pain 	1 pain++ --> 1 pain + 1 punishment (08)
01 02 02 	drive raiser - need for pleasure 	1 need for pleasure++ --> 1 n.f.p. + 1 punishment (08)
01 02 03 	drive raiser - hunger 	1 hunger++ --> 1 hunger + 1 punishment (08)
01 02 04 	drive raiser - coldness 	1 coldness++ --> 1 coldness + 1 punishment (08)
01 02 05 	drive raiser - hotness 	1 hotness++ --> 1 hotness + 1 punishment (08)
01 02 06 	drive raiser - tiredness 	1 tiredness++ --> 1 tiredness + 1 punishment (08)
01 02 07 	drive raiser - sleepiness 	1 sleepiness++ --> 1 sleepiness + 1 punishment (08)
01 02 08 	drive raiser - loneliness 	1 loneliness++ --> 1 loneliness + 1 punishment (08)
01 02 09 	drive raiser - crowded 	1 crowded++ --> 1 crowded + 1 punishment (08)
01 02 0A 	drive raiser - fear 	1 fear++ --> 1 fear + 1 punishment (08)
01 02 0B 	drive raiser - boredom 	1 boredom++ --> 1 boredom + 1 punishment (08)
01 02 0C 	drive raiser - anger 	1 anger++ --> 1 anger + 1 punishment (08)
01 02 0D 	drive reducer - pain 	1 pain-- + 1 pain --> 3 reward (08)
01 02 0E 	drive reducer - need for pleasure 	1 need for pleasure-- + 1 need for pleasure --> 1 reward (08)
01 02 0F 	drive reducer - hunger 	1 hunger-- + 1 hunger --> 5 reward (08)
01 02 10 	drive reducer - coldness 	1 coldness-- + 1 coldness --> 1 reward (08)
01 02 11 	drive reducer - hotness 	1 hotness-- + 1 hotness --> 1 reward (08)
01 02 12 	drive reducer - tiredness 	1 tiredness-- + 1 tiredness --> 1 reward (08)
01 02 13 	drive reducer - sleepiness 	1 sleepiness-- + 1 sleepiness --> 1 reward (08)
01 02 14 	drive reducer - loneliness 	1 loneliness-- + 1 loneliness --> 1 reward (08)
01 02 15 	drive reducer - crowded 	1 crowded-- + 1 crowded --> 1 reward (08)
01 02 16 	drive reducer - fear 	1 fear-- + 1 fear --> 1 reward (08)
