Number,Type,Subtype,SwitchOn,SexDep,Mutability,Data,ParsedData
1,0x02 (Creature),0x01 (Genus),0 (Embryo),None,None,,
1,0x01 (Biochemistry),0x03 (Half-Lives),0 (Embryo),None,None,120 56 88,
1,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
1,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
2,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
3,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
4,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
5,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
1,0x02 (Creature),0x02 (Appearance),0 (Embryo),None,None,0,
6,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
7,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
8,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
9,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
10,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
11,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
12,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
13,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
14,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
15,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
16,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
17,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
18,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
19,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
20,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
21,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
22,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
23,0x02 (Creature),0x03 (Pose),0 (Embryo),None,Mutable,,
24,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
25,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
26,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
27,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
2,0x02 (Creature),0x02 (Appearance),0 (Embryo),None,None,1,
28,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
29,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
40,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
30,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
31,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
32,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
33,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
34,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
35,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
36,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
37,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
1,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 0 1 0 0 255,
2,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 1 2 0 0 255,
3,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 2 3 0 0 255,
4,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 3 4 0 0 255,
5,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 4 5 0 0 255,
6,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 5 6 0 0 255,
7,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 6 7 0 0 255,
8,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 7 8 0 0 255,
9,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 8 9 0 0 255,
10,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 9 10 0 0 255,
11,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 10 11 0 0 255,
12,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 11 12 0 0 255,
13,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 5 12 13 0 0 255,
1,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 17 1 0 1 1 1,"{'reactants': [{'chem': 17, 'proportion': 1, 'chem_name': 'Chem11'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
2,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 18 1 0 1 2 1,"{'reactants': [{'chem': 18, 'proportion': 1, 'chem_name': 'Chem12'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
3,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 19 1 0 1 3 1,"{'reactants': [{'chem': 19, 'proportion': 1, 'chem_name': 'Chem13'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
4,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 20 1 0 1 4 1,"{'reactants': [{'chem': 20, 'proportion': 1, 'chem_name': 'Chem14'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
5,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 21 1 0 1 5 1,"{'reactants': [{'chem': 21, 'proportion': 1, 'chem_name': 'Chem15'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
6,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 22 1 0 1 6 1,"{'reactants': [{'chem': 22, 'proportion': 1, 'chem_name': 'Chem16'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
7,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 23 1 0 1 7 1,"{'reactants': [{'chem': 23, 'proportion': 1, 'chem_name': 'Chem17'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
8,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 24 1 0 1 8 1,"{'reactants': [{'chem': 24, 'proportion': 1, 'chem_name': 'Chem18'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
9,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 25 1 0 1 9 1,"{'reactants': [{'chem': 25, 'proportion': 1, 'chem_name': 'Chem19'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
10,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 26 1 0 1 10 1,"{'reactants': [{'chem': 26, 'proportion': 1, 'chem_name': 'Chem1A'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
11,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 27 1 0 1 11 1,"{'reactants': [{'chem': 27, 'proportion': 1, 'chem_name': 'Chem1B'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
12,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 28 1 0 1 12 1,"{'reactants': [{'chem': 28, 'proportion': 1, 'chem_name': 'Chem1C'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
32,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 29 1 0 1 13 1,"{'reactants': [{'chem': 29, 'proportion': 1, 'chem_name': 'Chem1D'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
13,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 33 1 1 1 49 1,"{'reactants': [{'chem': 33, 'proportion': 1, 'chem_name': 'Chem21'}], 'products': [{'chem': 1, 'proportion': 1, 'chem_name': 'Need for Pleasure'}], 'rate': 1}"
14,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 34 1 2 1 49 1,"{'reactants': [{'chem': 34, 'proportion': 1, 'chem_name': 'Chem22'}], 'products': [{'chem': 2, 'proportion': 1, 'chem_name': 'Hunger'}], 'rate': 1}"
15,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 35 1 3 1 49 1,"{'reactants': [{'chem': 35, 'proportion': 1, 'chem_name': 'Chem23'}], 'products': [{'chem': 3, 'proportion': 1, 'chem_name': 'Coldness'}], 'rate': 1}"
16,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 36 1 4 1 49 1,"{'reactants': [{'chem': 36, 'proportion': 1, 'chem_name': 'Chem24'}], 'products': [{'chem': 4, 'proportion': 1, 'chem_name': 'Hotness'}], 'rate': 1}"
17,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 37 1 5 1 49 1,"{'reactants': [{'chem': 37, 'proportion': 1, 'chem_name': 'Chem25'}], 'products': [{'chem': 5, 'proportion': 1, 'chem_name': 'Chem05'}], 'rate': 1}"
18,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 38 1 6 1 49 1,"{'reactants': [{'chem': 38, 'proportion': 1, 'chem_name': 'Chem26'}], 'products': [{'chem': 6, 'proportion': 1, 'chem_name': 'Chem06'}], 'rate': 1}"
3,0x02 (Creature),0x02 (Appearance),0 (Embryo),None,None,2,
19,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 39 1 7 1 49 1,"{'reactants': [{'chem': 39, 'proportion': 1, 'chem_name': 'Chem27'}], 'products': [{'chem': 7, 'proportion': 1, 'chem_name': 'Chem07'}], 'rate': 1}"
20,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 40 1 8 1 49 1,"{'reactants': [{'chem': 40, 'proportion': 1, 'chem_name': 'Chem28'}], 'products': [{'chem': 8, 'proportion': 1, 'chem_name': 'Chem08'}], 'rate': 1}"
21,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 41 1 9 1 49 1,"{'reactants': [{'chem': 41, 'proportion': 1, 'chem_name': 'Chem29'}], 'products': [{'chem': 9, 'proportion': 1, 'chem_name': 'Chem09'}], 'rate': 1}"
22,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 42 1 10 1 49 1,"{'reactants': [{'chem': 42, 'proportion': 1, 'chem_name': 'Chem2A'}], 'products': [{'chem': 10, 'proportion': 1, 'chem_name': 'Fear'}], 'rate': 1}"
