"CREATURES";;;;;")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78
"Nom";"Malun";"Femun";"Toby";"Waza";"Alice";"Ralph";"Nova";"Bibi";"Bimbo";"Eva";"Virga";"Loana";"Laure";"Bobby";"Mike";"Steph";"Lara";"Angela";"Sarah";"Marcus";"Buffy";"Angel";"Paula";"Peter";"Valentine";"Ender";"Petra";"Tuck";"Kenza";"Jason";"Lou";"Sean";"Colin";"Dave";"Ben";"Clara";"Steevy";"Diana";"Nana";"Fucky";"Alima";"Danny";"Cola";"Coca";"Monica";"Pepsi";"Mail";"Wanda";"Ganja";"Quint";"Joker";"Ken";"Blanka";"Banga";"Bahun";"Kah";"Kahde";"Bastet";"Isis";"Osiris";"Sekhmet";"Horus";"Shit";"Anubis";"Nout";"Theti";"Cleopatra";"God";"Amon";"Nefer";"Nefari";"Nefertiti";"Seth";"Apopis";"Min";"Mina";"<sansnom>";"Chia"
"sexe";1;2;1;1;2;1;2;1;1;2;2;2;2;1;1;1;2;2;2;1;2;1;2;1;2;1;2;1;2;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;1;1;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;2;2
"génération";1;1;2;2;2;2;2;3;3;1;3;4;3;3;4;4;4;5;4;4;5;4;4;5;6;5;5;6;7;6;6;6;8;7;8;7;7;8;7;8;9;8;9;9;9;8;10;9;10;10;9;10;11;10;11;10;11;11;12;12;12;13;12;13;14;13;15;1;15;16;14;16;14;16;15;17;15;16
"code";1180;1581;1378;1455;1260;1170;1226;1138;1463;1574;1183;1146;1408;1241;1138;1066;1733;1481;1262;1428;1104;1340;1309;1333;1183;1358;1428;1146;1333;1451;1346;1340;1333;1259;1451;1358;1121;1308;1340;1333;1308;1366;1121;1424;1308;1246;1359;1308;1377;1404;1320;1308;1359;1204;1323;1359;1377;1359;1311;1173;1308;1173;1415;1214;1424;1111;1224;1628;1424;1173;1346;1295;1288;1373;1378;1617;"-";1224
"ID";"6BAD";"7RMN";"4BLS";"7ESX";"0QTF";"8PLA";"5PWJ";"1IET";"2TTE";"7WKO";"4XTO";"8BJX";"1SAB";"8EKC";"5XTQ";"0DNX";"2LFG";"5HHO";"4WJI";"7TOB";"4CSK";"5EXE";"6DJE";"5FZM";"4XLH";"8CEB";"5XDT";"0WKW";"0EKI";"6OAT";"6AFR";"6XSB";"0GSH";"1HIZ";"4KGT";"6DCY";"8ARU";"9PST";"1TVM";"0SFQ";"1ATH";"8DSH";"9BKB";"5QIZ";"5XCE";"1KLA";"8PTH";"3FHJ";"0CFZ";"9HYB";"0UBY";"6YOL";"1LYO";"3QBR";"3AQO";"3LLO";"0QIU";"6MDX";"9OIZ";"5ANG";"8GKF";"6NGJ";"7TFO";"2XFP";"5LEN";"5HSF";"6MFQ";"5RCQ";"0AWL";"9LMK";"2KGG";"6ZJE";"1SHD";"6YJC";"9CWE";"8HRY";"5CBL";"0CMG"
"nb gènes";264;267;264;264;267;264;267;264;264;267;267;267;267;264;264;264;267;267;267;264;267;264;267;264;267;264;267;264;267;264;267;264;264;264;264;267;265;267;267;267;267;264;267;267;268;264;264;267;267;264;264;264;267;267;264;265;264;267;267;264;267;264;264;264;267;267;267;264;263;267;267;267;264;263;264;267;267;267
"Nucléotides";2112;2136;2112;2112;2136;2112;2136;2112;2112;2136;2136;2136;2136;2112;2112;2112;2136;2136;2136;2112;2136;2112;2136;2112;2136;2112;2136;2112;2136;2112;2136;2112;2112;2112;2112;2136;2120;2136;2136;2136;2136;2112;2136;2136;2144;2112;2112;2136;2136;2112;2112;2112;2136;2136;2112;2120;2112;2136;2136;2112;2136;2112;2112;2112;2136;2136;2136;2112;2104;2136;2136;2136;2112;2104;2112;2136;2136;2136
"N/G";8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
"Recepteurs CH";40;42;40;40;42;40;42;40;40;42;42;42;42;40;40;40;42;42;42;40;42;40;42;40;42;40;42;40;42;40;42;40;40;40;40;42;40;42;42;42;42;40;42;42;42;40;40;42;42;40;40;40;42;42;40;40;40;42;42;40;42;40;40;40;42;42;42;40;40;42;42;42;40;40;40;42;42;42
;320;336;320;320;336;320;336;320;320;336;336;336;336;320;320;320;336;336;336;320;336;320;336;320;336;320;336;320;336;320;336;320;320;320;320;336;320;336;336;336;336;320;336;336;336;320;320;336;336;320;320;320;336;336;320;320;320;336;336;320;336;320;320;320;336;336;336;320;320;336;336;336;320;320;320;336;336;336
"Emetteurs CH";22;24;22;22;24;22;24;22;22;24;24;24;24;22;22;22;24;24;24;22;24;22;24;22;24;22;24;22;24;22;24;22;22;22;22;24;23;24;24;24;24;22;24;24;24;22;22;24;24;22;22;22;24;24;22;22;22;24;24;22;24;22;22;22;24;24;24;22;21;24;24;24;22;21;22;24;24;24
;176;192;176;176;192;176;192;176;176;192;192;192;192;176;176;176;192;192;192;176;192;176;192;176;192;176;192;176;192;176;192;176;176;176;176;192;184;192;192;192;192;176;192;192;192;176;176;192;192;176;176;176;192;192;176;176;176;192;192;176;192;176;176;176;192;192;192;176;168;192;192;192;176;168;176;192;192;192
"Reactions CH";55;56;55;55;56;55;56;55;55;56;56;56;56;55;55;55;56;56;56;55;56;55;56;55;56;55;56;55;56;55;56;55;55;55;55;56;55;56;56;56;56;55;56;56;57;55;55;56;56;55;55;55;56;56;55;56;55;56;56;55;56;55;55;55;56;56;56;55;55;56;56;56;55;55;55;56;56;56
;440;448;440;440;448;440;448;440;440;448;448;448;448;440;440;440;448;448;448;440;448;440;448;440;448;440;448;440;448;440;448;440;440;440;440;448;440;448;448;448;448;440;448;448;456;440;440;448;448;440;440;440;448;448;440;448;440;448;448;440;448;440;440;440;448;448;448;440;440;448;448;448;440;440;440;448;448;448
"Apparence";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"Posture";104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104
;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832
"Démarche";8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64
"Instincts";19;17;19;19;17;19;17;19;19;17;17;17;17;19;19;19;17;17;17;19;17;19;17;19;17;19;17;19;17;19;17;19;19;19;19;17;19;17;17;17;17;19;17;17;17;19;19;17;17;19;19;19;17;17;19;19;19;17;17;19;17;19;19;19;17;17;17;19;19;17;17;17;19;19;19;17;17;17
;152;136;152;152;136;152;136;152;152;136;136;136;136;152;152;152;136;136;136;152;136;152;136;152;136;152;136;152;136;152;136;152;152;152;152;136;152;136;136;136;136;152;136;136;136;152;152;136;136;152;152;152;136;136;152;152;152;136;136;152;136;152;152;152;136;136;136;152;152;136;136;136;152;152;152;136;136;136
