	'Apoptose'	'36462, 1983, 3033, 54454, 24360, 24154, 9570172, 222528, 12544, 6758, 2733768, 439763, 2723949, '
	'Hépatite cholestatique'	'2179, 2145, 2265, 6451, 2478, 2708, 441203, 6253, 36462, 3385, 3397, 3657, 667490, 5746, 9052, 2218, 2157, 6237, 44093, 10230, 62920, 5388962, 4138, 4178, 4485, 4680, 4760, 36708, 441074, 5472, 62969, 2756, 4075, 5852, 3001055, 5353980, 60823, 31072, 9564, 2796, 1548972, 3488, 54687, 5591, 2082, 27447, 2764, 5959, 84029, 6098, 358641, 2955, 50599, 14052, 441140, 5282165, 456201, 4173, 5281093, 4539, 4583, 6196, 197867, 5381226, 9567573, 18283, 392622, 5280962, 5430, 17675, 35370, 300, 11065, 2554, 2712, 2801, 2726, 2995, 3016, 5282426, 3559, 3748, 3696, 21722, 3878, 4184, 4763, 68870, 62935, 5556, 5468, 2094, 644073, 3033, 3059, 3715, 4495, 5852, 4781, 5280452, 4911, 1548887, 5353980, 5282375, 4201, 4615, '
	'Hépatite cytolytique'	'42113, 3226, 3562, 3763, 4116, 5206, 3000715, 2578, 2708, 441203, 6253, 31703, 30323, 9880, 2907, 5351166, 36462, 3397, 5790, 3657, 35370, 24847866, 667490, 5746, 4260, 4493, 24838940, 163659, 4915, 29327, 2723601, 5978, 1978, 9052, 38409, 2157, 2218, 255968, 2351, 44093, 2747, 10230, 62920, 3114, 3637, 3869, 5362119, 4138, 4178, 4485, 4680, 4746, 4990, 36708, 441074, 5354, 9815560, 5472, 62969, 2756, 2950, 3117, 4075, 3001055, 5353980, 41774, 39042, 31072, 9564, 2763, 2796, 1548972, 3488, 3478, 54687, 54454, 5591, 2082, 2165, 27447, 2764, 84029, 6098, 358641, 2955, 50599, 8233, 3365, 3767, 456201, 26879, 4030, 5281093, 4463, 5362440, 4539, 6604200, 4583, 4735, 4756, 1046, 392622, 9567573, 60934, 18283, 1549008, 5430, 24066, 35370, 300, 11065, 2554, 2801, 2811, 2995, 3016, 5282426, 3351, 5324346, 3386, 3559, 3696, 3748, 3878, 36109, 4184, 4528, 43815, 61100, 5929, 4763, 5070, 68617, 1935, 4659569, 62935, 5666, 5665, 5365247, 4044, 5468, 2094, 2244, 60726, 644073, 3033, 3715, 3899, 4495, 1983, 4781, 5280452, 14190, 5312152, 1548887, 5312154, 6103, 5282375, 20353, '
	'Hépatite granulomateuse'	'2094, 2157, 33613, 2218, 2244, 2554, 31072, 9564, 27447, 2726, 2727, 2955, 3016, 3059, 62920, 3114, 35455, 3488, 3562, 3637, 3767, 1349907, 4138, 4528, 6196, 4680, 5852, 197867, 2206, 9908, 4781, 5280452, 4915, 441074, 8549, 3001055, 3032577, 5353980, 1935, 5505, '
	'Hépatite subaiguë, hépatite chronique et cirrhose'	'1989, 38409, 300, 2157, 2165, 2244, 255968, 2478, 2708, 3562, 3748, 3767, 11259, 126941, 4138, 4680, 1983, 4746, 657298, 5641, 20353, '
	'Inhibition canal hERG faible'	'4485, 3488, 3878, 110635, 5282165, 36727, 4062, 3749, 4735, 5578, 1775, 19822, 3476, 4171, 3676, 5359227, 149096, 5288826, 4583, 2756, 358641, 4737, '
	'Inhibition canal hERG forte'	'2769, 155805, 123618, 60149, 5405, 941361, 71329, 16362, 3559, 2725, 2157, 5452, 208898, 441074, 3926, 60774, 37392, 115076, 3100, 3168, '
	'Inhibition canal hERG modérée'	'47811, 60854, 5073, 3151, 4585, 3386, 2733526, 2179, 62969, 104972, 3356, 3191, 1548953, 65941, 2818, 4078, 65906, 1547484, 36708, 107927, 2351, 62865, 2585, 9571003, 3157, 9801, 3696, 62935, 6834, 20367, 5663, 5095, 4034, 2995, 60663, 2726, 4893, 456201, 13810, 3086547, 26937, 4748, 4189, 6279, 3396, 6005, 2719, 3372, 5324346, 40692, 104850, 4763, 60758, 11065, 5212, 71270, 5284566, 4946, 2771, 2710, 5002, '
	'Phospholipidose'	'2157, 2160, 37768, 10007, 2726, 2818, 3696, 4011, 4746, 5475, '
	'Risque d’induction modéré de l’allongement du QT'	'2092, 2130, 148192, 55185, 2818, 60654, 208898, 146570, 3331, 3356, 44561, 56339, 5379, 5284566, 3702, 3784, 208908, 149096, 938, 3006534, 41114, 644241, 383414, 4583, 4595, 5771, 115237, 5002, 56959, 5073, 9567573, 60149, 5329102, 445643, 2733526, 5487, 110634, 5656, 71616, 60854, '
	'Risque d’induction élevé de l’allongement du QT'	'2157, 2247, 2351, 2719, 2726, 2769, 84029, 3114, 71329, 3151, 3168, 8233, 37392, 3559, 5281065, 4095, 4735, 16362, 4912, 4913, 441074, 5253, 60464, 5405, 5452, '
	'Stéatose macrovacuolaire et stéatohépatite non alcoolique'	'2157, 4746, 126941, 4485, 62920, 3634, 2719, 60838, 35370, 50599, 18283, '
	'Stéatose microvésiculaire'	'2157, 2244, 300, 5280962, 34870, 68870, 50313, 4746, 5351489, 5816, 35370, 50599, 18283, '
